routing,office_code,fbr,record_type,change_date,new_routing,name,address,city,state,zip,zip_ext,area_code,prefix,suffix,status_code,master_state
323173193,O,121000374,1,061716,000000000,FREEDOM NORTHWEST CREDIT UNION,P.O. BOX 68,KAMIAH,ID,83536,0068,208,935,0277,1,
323173245,O,121000374,1,020117,000000000,LEWIS CLARK CREDIT UNION,1626 17TH STREET,LEWISTON,ID,83501,4031,208,746,7233,1,
323173274,O,121000374,1,061306,000000000,LEWIS CLARK CREDIT UNION,1626 17TH STREET,LEWISTON,ID,83501,4031,208,746,7233,1,
323173313,O,121000374,1,110911,000000000,POTLATCH NO 1 FEDERAL CU,PO BOX 897,LEWISTON,ID,83501,0000,208,746,8900,1,
323173368,O,121000374,1,091516,000000000,LATAH CREDIT UNION,912 SOUTH WASHINGTON STREET,MOSCOW,ID,83843,3150,208,882,0232,1,
323173533,O,121000374,1,041697,000000000,WHITE PINE CREDIT UNION 128,PO BOX 266,PIERCE,ID,83546,0266,208,464,2119,1,
323173834,O,121000374,1,091008,000000000,ST JOE VALLEY CREDIT UNION,PO BOX 216,ST MARIES,ID,83861,0216,208,245,4231,1,
323173863,O,121000374,1,092612,000000000,POTLATCH NO 1 FEDERAL CREDIT UNION,PO BOX 897,LEWISTON,ID,83501,0000,208,746,8900,1,
323270216,O,121000374,1,041315,000000000,UMPQUA BANK,17555 NE SACRAMENTO ST,PORTLAND,OR,97230,0000,866,203,9569,1,
323270274,O,121000374,1,062413,000000000,EVERGREEN FEDERAL SAVINGS & LOAN,969 SE 6TH ST,GRANTS PASS,OR,97526,0000,541,479,3351,1,
323270300,O,121000374,1,041315,000000000,UMPQUA BANK,17555 NE SACRAMENTO ST,PORTLAND,OR,97230,0000,866,203,9569,1,
323270313,O,121000374,1,062498,000000000,FIRST FEDERAL SAVINGS & LOAN,PO BOX 239,MCMINNVILLE,OR,97128,0239,503,472,6171,1,
323270436,O,121000374,1,120904,000000000,WELLS FARGO BANK NA,MAC N9301-041,MINNEAPOLIS,MN,55479,0000,800,745,2426,1,
323271422,O,121000374,1,081417,000000000,FIRST INTERSTATE BANK,PO BOX 30918,BILLINGS,MT,59116,0918,406,237,2951,1,
323271493,O,121000374,2,051815,125108272,COLUMBIA STATE BANK,STE B,LAKEWOOD,WA,98499,0000,253,471,5075,1,
211273781,O,011000015,2,101915,011201458,CAMDEN NATIONAL BANK,245 COMMERCIAL STREET,ROCKPORT,ME,04856,0000,800,860,8821,1,
323274076,O,121000374,1,080108,000000000,CENTRAL WILLAMETTE CREDIT UNION,7101 SUPRA DRIVE SOUTHWEST,ALBANY,OR,97321,0437,541,917,6832,1,
323274092,O,121000374,2,072808,323380821,RED CANOE CREDIT UNION,1418 15TH AVENUE,LONGVIEW,WA,98632,0000,360,578,5380,1,
323274160,O,121000374,1,122211,000000000,FIRST TECHNOLOGY FCU,PO BOX 2100,BEAVERTON,OR,97075,0000,855,855,8805,1,
323274186,O,121000374,1,070513,000000000,MID OREGON FEDERAL CREDIT UNION,1386 NE CUSHING DR,BEND,OR,97708,0000,541,382,1795,1,
323274199,O,121000374,2,040715,323274775,ROGUE CREDIT UNION,P.O. BOX 4550,MEDFORD,OR,97501,0000,541,858,7328,1,
323274209,O,121000374,1,071107,000000000,WAUNA FEDERAL CREDIT UNION,PO BOX 67,CLATSKANIE,OR,97016,0067,800,773,3236,1,
323274225,O,121000374,1,031513,000000000,NORTHWEST COMMUNITY CU,PO BOX 70225,SPRINGFIELD,OR,97475,0000,800,452,9515,1,
323274238,O,121000374,1,090111,000000000,FIRST COMMUNITY CREDIT UNION,200 NORTH ADAMS,COQUILLE,OR,97423,0000,541,396,2145,1,
323274254,O,121000374,1,072005,000000000,BENTON COUNTY SCHOOLS CU,2101 NORTHWEST PROFESSIONAL DRIVE,CORVALLIS,OR,97330,0000,541,754,7765,1,
323274270,O,121000374,1,010815,000000000,OREGON STATE CREDIT UNION,PO BOX 306,CORVALLIS,OR,97339,0000,541,714,4000,1,
323274306,O,121000374,2,100114,323274461,OREGON COMMUNITY CREDIT UNION,2880 CHAD DRIVE,EUGENE,OR,97408,0000,800,365,1111,1,
323274351,O,121000374,1,061313,000000000,PACIFIC CASCADE FEDERAL CU,1155 CHAMBERS ST,EUGENE,OR,97402,0000,541,343,6238,1,
323274377,O,121000374,1,060513,000000000,EWEB EMPLOYEES FEDERAL CREDIT UNION,PO BOX 12000,EUGENE,OR,97440,0148,541,484,5304,1,
323274393,O,121000374,1,061812,000000000,LANECO FEDERAL CREDIT UNION,74A CENTENNIAL LOOP,EUGENE,OR,97401,0000,541,683,5665,1,
323274432,O,121000374,1,060313,000000000,REGISTER-GUARD FCU,850 BELTLINE RD,SPRINGFIELD,OR,97477,0000,541,988,9059,1,
323274445,O,121000374,1,061114,000000000,SELCO COMMUNITY CREDIT UNION,PO BOX 7487,SPRINGFIELD,OR,97475,0000,800,445,4483,1,
323274458,O,121000374,1,122211,000000000,FIRST TECHNOLOGY FCU,PO BOX 2100,BEAVERTON,OR,97075,0000,855,855,8805,1,
323274461,O,121000374,1,113007,000000000,OREGON COMMUNITY CREDIT UNION,2880 CHAD DRIVE,EUGENE,OR,97408,0000,800,365,1111,1,
323274513,O,121000374,1,060513,000000000,FIRST COMMUNITY CREDIT UNION,200 W ADAMS ST.,COQUILLE,OR,97423,0000,541,396,2145,1,
323274526,O,121000374,1,010416,000000000,HAPO COMMUNITY CREDIT UNION,601 WILLIAMS BLVD,RICHLAND,WA,99354,0000,509,943,5676,1,
323274584,O,121000374,1,120709,000000000,CASCADE CENTRAL CREDIT UNION,1206 12TH STREET,HOOD RIVER,OR,97031,1604,541,387,9297,1,
323274597,O,121000374,1,110402,000000000,OPC FEDERAL CREDIT UNION,PO BOX 145,DURKEE,OR,97905,0000,541,877,2411,1,
323274607,O,121000374,1,071112,000000000,OLD WEST FEDERAL CREDIT UNION,650 W MAIN,JOHN DAY,OR,97845,0000,541,575,0264,1,
323274678,O,121000374,1,111809,000000000,KLAMATH PUBLIC EMPLOYEES FCU,3737 SHASTA WAY,KLAMATH FALLS,OR,97603,0000,541,882,5525,1,
323274704,O,121000374,1,060214,000000000,PACIFIC CREST FEDERAL CREDIT UNION,2972 WASHBURN WAY,KLAMATH FALLS,OR,97601,0281,541,884,1376,1,
323274733,O,121000374,1,100217,000000000,OLD WEST FEDERAL CREDIT UNION,650 W MAIN,JOHN DAY,OR,97845,0000,541,575,0264,1,
323274762,O,121000374,1,070808,000000000,LINN CO FEDERAL CRED UN,P.O. BOX 265,LEBANON,OR,97355,0265,541,259,1235,1,
323274775,O,121000374,1,030515,000000000,ROGUE CREDIT UNION,P.O. BOX 4550,MEDFORD,OR,97501,0275,541,858,7328,1,
323274788,O,121000374,1,061306,000000000,CUTTING EDGE FEDERAL CREDIT UNION,PO BOX 22192,MILWAUKIE,OR,97269,2192,503,653,4392,1,
323274843,O,121000374,1,071807,000000000,SOUTH COAST ILWU FEDERAL CU,2438 BROADWAY,NORTH BEND,OR,97459,0000,541,756,5746,1,
323274869,O,121000374,1,070912,000000000,MALHEUR FEDERAL CREDIT UNION,1695 SE 5TH AVE,ONTARIO,OR,97914,0000,541,823,4485,1,
323274885,O,121000374,1,092909,000000000,CLACKAMAS COMMUNITY FCU,PO BOX 2020,OREGON CITY,OR,97045,5060,503,656,0671,1,
323274937,O,121000374,1,071796,000000000,UMATILLA COUNTY FED C U,P.O. BOX 1305,PENDLETON,OR,97801,0240,541,276,6317,1,
323274940,O,121000374,2,060513,323274238,FIRST COMMUNITY CREDIT UNION,200 NORTH ADAMS STREET,COQUILLE,OR,97423,0000,541,396,2145,1,
323276304,O,121000374,2,110116,323380766,TLC FCU A DIVISION OF FIBRE FCU,796 COMMERCE AVE,LONGVIEW,WA,98632,0000,360,423,8750,1,
323276320,O,121000374,1,070108,000000000,CASCADE COMMUNITY CREDIT UNION,PO BOX 1166,ROSEBURG,OR,97470,0000,541,464,6857,1,
323276346,O,121000374,1,061413,000000000,ST HELENS COMMUNITY FCU,1720 ST HELENS STREET,ST HELENS,OR,97051,0537,503,397,2376,1,
323276362,O,121000374,1,080609,000000000,IBEW/SJ CASCADE FCU,1825 12TH STREET SOUTHEAST # 130,SALEM,OR,97302,0000,503,581,6221,1,
323276388,O,121000374,1,061306,000000000,MARION & POLK SCHOOLS CREDIT UNION,451 DIVISION ST N,SALEM,OR,97301,0000,503,588,0181,1,
323276391,O,121000374,1,052814,000000000,HERITAGE GROVE FEDERAL CREDIT UNION,631 WINTER ST NE,SALEM,OR,97301,0000,503,485,4358,1,
323276401,O,121000374,1,041316,000000000,VALLEY CREDIT UNION,2096 MISSION ST SE,SALEM,OR,97301,0000,503,364,7999,1,
323276430,O,121000374,1,122211,000000000,FIRST TECHNOLOGY FCU,PO BOX 2100,BEAVERTON,OR,97075,0000,855,855,8805,1,
323276469,O,121000374,1,061914,000000000,IBEW / SJ CASCADE FCU,1825 12TH STREET SOUTHEAST # 130,SALEM,OR,97302,0000,503,581,6221,1,
323276485,O,121000374,1,030817,000000000,REGISTER GUARD EMPLOYEES FCU,850 BELTLINE RD,SPRINGFIELD,OR,97477,0000,541,988,9059,1,
323276498,O,121000374,1,071712,000000000,NORTHWEST COMMUNITY CREDIT UNION,PO BOX 70225,SRINGFIELD,OR,97475,0000,541,744,9441,1,
323276524,O,121000374,1,102314,000000000,NORTHWEST COMMUNITY CREDIT UNION,PO BOX 10607,EUGENE,OR,97440,0000,800,452,9515,1,
323276582,O,121000374,1,052913,000000000,PACIFIC SPRUCE FEDERAL CREDIT UNION,"727 NW ""A"" ST.",TOLEDO,OR,97391,0000,541,336,2321,1,
323276647,O,121000374,1,090116,000000000,HAPO COMMUNITY CREDIT UNION,601 WILLIAMS BLVD,RICHLAND,WA,99354,0000,509,943,5676,1,
323283944,O,121000374,1,060713,000000000,FOOD INDUSTRIES CREDIT UNION,3030 GATEWAY LOOP,SPRINGFIELD,OR,97477,0000,541,741,2606,1,
323370666,O,121000374,1,063014,000000000,RIVERVIEW COMMUNITY BANK,17205 SE MILL PLAIN BLVD,VANCOUVER,WA,98683,0000,360,834,2231,1,
323371076,O,121000374,1,030317,000000000,BANNER BANK,110 S FERRALL STREET,SPOKANE,WA,99202,0000,509,344,5511,1,
323380261,O,121000374,1,070114,000000000,IQ CREDIT UNION,236 NE 4TH AVENUE,CAMAS,WA,98607,1108,360,834,3611,1,
323380326,O,121000374,1,010703,000000000,BLUE MOUNTAIN CREDIT UNION,520 S COLLEGE AVENUE,COLLEGE PLACE,WA,99324,0547,509,526,4562,1,
323380740,O,121000374,1,090214,000000000,RED CANOE CREDIT UNION,1418 15TH AVENUE,LONGVIEW,WA,98632,0000,360,578,5358,1,
323380766,O,121000374,1,100110,000000000,FIBRE FEDERAL CREDIT UNION,796 COMMERCE AVENUE,LONGVIEW,WA,98632,0000,360,423,8750,1,
323380782,O,121000374,1,072015,000000000,LOWER COLUMBIA LONGSHOREMEN'S FCU,629 14TH AVENUE,LONGVIEW,WA,98632,1533,360,423,2770,1,
323380795,O,121000374,1,071204,000000000,PUD FEDERAL CREDIT UNION,960 COMMERCE AVENUE,LONGVIEW,WA,98632,0000,360,577,7509,1,
323380821,O,121000374,1,010207,000000000,RED CANOE CREDIT UNION,1418 15TH AVENUE,LONGVIEW,WA,98632,0000,360,578,5358,1,
323380834,O,121000374,1,080202,000000000,MINT VALLEY FCU,3325 WASHINGTON WAY,LONGVIEW,WA,98632,0000,360,425,5444,1,
323383349,O,121000374,1,113011,000000000,COLUMBIA CREDIT UNION,200 SE PARKWAY DR,VANCOUVER,WA,98684,0000,360,619,3302,1,
323383352,O,121000374,1,032014,000000000,LIGHTHOUSE COMMUNITY CREDIT UNION,PO BOX 348,VANCOUVER,WA,98666,0348,360,694,8329,1,
323383378,O,121000374,1,061608,000000000,IQ CREDIT UNION,305 NORTHEAST 81ST STREET,VANCOUVER,WA,98665,0000,360,759,3080,1,
323383394,O,121000374,1,072208,000000000,PEOPLE'S COMMUNITY FEDERAL CR UN,PO BOX 764,VANCOUVER,WA,98666,0000,360,695,5121,1,
323383404,O,121000374,1,071608,000000000,COLUMBIA CREDIT UNION,200 SOUTHEAST PARK PLAZA DRIVE,VANCOUVER,WA,98684,0000,360,619,3302,1,
323383530,O,121000374,1,082411,000000000,LONGSHOREMENS LOCAL 4 FCU,PO BOX 61629,VANCOUVER,WA,98666,1629,360,694,7751,1,
324077379,O,121000374,1,021401,000000000,HI LAND CREDIT UNION,965 WOODOAK LANE,SALT LAKE CITY,UT,84117,7267,801,261,8909,1,
324078187,O,121000374,1,020317,000000000,FEDERAL FAMILY FEDERAL CREDIT UNION,125 SOUTH STATE STREET  ROOM 2205,SALT LAKE CITY,UT,84138,0000,801,364,5718,1,
324078297,O,121000374,1,060713,000000000,AMERICAN UTD FAMILY OF CREDIT UNIONS,2687 WEST 7800 SOUTH,WEST JORDAN,UT,84088,0000,801,838,8738,1,
324078365,O,121000374,1,112811,000000000,MIDVALLEY FEDERAL CREDIT UNION,SUITE C-164,MURRAY,UT,84107,0000,801,265,2111,1,
324078381,O,121000374,1,110113,000000000,CHEVRON FEDERAL CREDIT UNION,475 14TH ST 9TH FLOOR,OAKLAND,CA,94612,0000,800,232,8101,1,
324078417,O,121000374,1,062698,000000000,UTAH FEDERAL CREDIT UNION,564 EAST THIRD SOUTH ST,SALT LAKE CITY,UT,84102,4021,801,328,1521,1,
324078475,O,121000374,1,060811,000000000,DESERET NEW EMPLOYEES CREDIT UNION,1377 SO REDWOOD RD,SALT LAKE CITY,UT,84104,0000,801,972,1116,1,
324078527,O,121000374,1,062017,000000000,VAREX FEDERAL CREDIT UNION,1678 SOUTH PIONEER ROAD,SALT LAKE CITY,UT,84104,4205,801,973,5052,1,
324078585,O,121000374,2,062514,324377202,CYPRUS FEDERAL CREDIT UNION,3876 W CENTERVIEW WAY,WEST JORDAN,UT,84084,0000,801,260,7600,1,
324078640,O,121000374,1,060713,000000000,AMERICAN UNITED FAMILY OF CU'S FCU,2687 WEST 7800 SOUTH,WEST JORDAN,UT,84088,0000,801,838,8738,1,
324078682,O,121000374,1,091712,000000000,GIBBONS & REED EMPLOYEES FCU,PO BOX 30429,SALT LAKE CITY,UT,84130,0000,801,322,4010,1,
324078721,O,121000374,1,093010,000000000,GRANITE CU,3675 SOUTH 900 EAST,SALT LAKE CITY,UT,84106,1964,801,288,3000,1,
324078776,O,121000374,1,061903,000000000,HERCULES CREDIT UNION,3141 WEST 4700 SOUTH,SALT LAKE CITY,UT,84118,0000,801,968,9011,1,
324078899,O,121000374,1,050117,000000000,GOLDENWEST FEDERAL CREDIT UNION,5025 SOUTH ADAMS AVE,SOUTH OGDEN,UT,84403,4111,801,337,8344,1,
324078909,O,121000374,1,062707,000000000,DESERET FIRST CREDIT UNION,STE C,SALT LAKE CITY,UT,84120,0000,801,456,7120,1,
324078938,O,121000374,1,062805,000000000,LU #354 IBEW FEDERAL CREDIT UNION,3405 WEST 1987 SOUTH,SALT LAKE CITY,UT,84104,4942,801,975,9693,1,
324078941,O,121000374,1,102301,000000000,MEADOW GOLD EMPLOYEE'S C.U.,3691 WEST 1987 SOUTH,SALT LAKE CITY,UT,84104,4904,801,908,7113,1,
324078996,O,121000374,1,060513,000000000,NATIONAL JACL CREDIT UNION,3776 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84106,0000,801,424,5225,1,
324079005,O,121000374,1,120809,000000000,NEWSPAPER EMPLOYEES CREDIT UNION,4770 SOUTH 5600 WEST,KEARNS,UT,84118,0000,801,204,6080,1,
324079063,O,121000374,1,121411,000000000,P & S CREDIT UNION,2250 SOUTH REDWOOD ROAD  SUITE # 6,SALT LAKE CITY,UT,84119,0000,801,973,0575,1,
324079115,O,121000374,1,072312,000000000,TRANSWEST CREDIT UNION,37 WEST 1700 SOUTH,SALT LAKE CITY,UT,84115,0000,801,487,1642,1,
324079131,O,121000374,1,110512,000000000,AMERICAN UNITED FAMILY OF CU'S FCU,2687 WEST 7800 S,WEST JORDAN,UT,84088,0000,801,561,9951,1,
324079160,O,121000374,1,060713,000000000,SLC VAF FEDERAL CREDIT UNION,2687 WEST 7800 SOUTH,WEST JORDAN,UT,84088,0000,801,838,8738,1,
324079225,O,121000374,1,112709,000000000,FIREFIGHTERS CREDIT UNION,124 WEST 1400 SOUTH,SALT LAKE CITY,UT,84115,0000,801,487,3219,1,
324079296,O,121000374,2,061114,324377202,CYPRUS FEDERAL CREDIT UNION,PO BOX 9002,WEST JORDAN,UT,84084,0000,801,260,7600,1,
324079348,O,121000374,1,060514,000000000,TANNER EMPLOYEES CREDIT UNION,1865 SOUTH MAIN STREET  SUITE 2,SALT LAKE CITY,UT,84115,0000,801,483,8396,1,
324079351,O,121000374,1,040317,000000000,UTAH FIRST FEDERAL CREDIT UNION,200 E SOUTH TEMPLE,SALT LAKE CITY,UT,84111,0000,801,320,2600,1,
324079377,O,121000374,2,020317,324078187,FEDERAL FAMILY FEDERAL CREDIT UNION,125 SOUTH STATE STREET  ROOM 2205,SALT LAKE CITY,UT,84138,0000,801,364,5718,1,
324079393,O,121000374,1,061114,000000000,CYPRUS FEDERAL CREDIT UNION,3876 W CENTERVIEW WAY,WEST JORDAN,UT,84084,0000,801,260,7600,1,
324079416,O,121000374,1,112415,000000000,UNIVERSITY FIRST FCU,ATTN: OPS DEPT.,SALT LAKE CITY,UT,84106,0000,801,463,3510,1,
324079474,O,121000374,1,011717,000000000,CHARTWAY FEDERAL CREDIT UNION,5700 CLEVELAND STREET,VIRGINIA BEACH,VA,23462,1752,800,678,8765,1,
324079500,O,121000374,1,062912,000000000,UTAH FIRST FEDERAL CREDIT UNION,200 E SOUTH TEMPLE,SALT LAKE CITY,UT,84111,0000,801,320,2600,1,
324079539,O,121000374,1,060613,000000000,UTAH POWER & LIGHT CREDIT UNION,957 EAST 6600 SOUTH,SALT LAKE CITY,UT,84121,0000,801,708,8922,1,
324079542,O,121000374,2,071312,324377516,AMERICA FIRST FEDERAL CREDIT UNION,1344 WEST 4675 SOUTH,RIVERDALE,UT,84405,0000,801,827,8064,1,
324079555,O,121000374,1,010214,000000000,MOUNTAIN AMERICA FCU,7181 SOUTH CAMPUS VIEW DRIVE,WEST JORDAN,UT,84084,0000,801,325,6228,1,
324084003,O,121000374,1,051716,000000000,ALLOYA CORPORATE FEDERAL CREDIT UN,184 SHUMAN BLVD STE 400,NAPERVILLE,IL,60563,0000,630,276,2600,1,
324170085,O,121000374,1,063014,000000000,"WASHINGTON FEDERAL,NA","425 PIKE STREET, ATTN DEPOSIT OPS",SEATTLE,WA,98101,0000,206,264,6882,1,
324170140,O,121000374,1,081417,000000000,FIRST INTERSTATE BANK,PO BOX 30918,BILLINGS,MT,59116,0918,406,237,2951,1,
324170179,O,121000374,1,051316,000000000,FIRST FEDERAL SAVINGS BANK-TWIN FALL,142 3RD AVENUE NORTH,TWIN FALLS,ID,83301,0000,208,733,4222,1,
324172465,O,121000374,1,110806,000000000,TRUGROCER FEDERAL CREDIT UNION,501 E HIGHLAND,BOISE,ID,83707,0000,208,385,5200,1,
324172546,O,121000374,2,020314,324173710,CONNECTIONS CREDIT UNION,10536 EMERALD ST,BOISE,ID,83704,0000,208,327,3445,1,
324172575,O,121000374,1,092910,000000000,CAPITAL EDUCATORS FCU,275 SOUTH STRATFORD DRIVE,MERIDIAN,ID,83642,0000,208,884,0150,1,
324172588,O,121000374,1,072508,000000000,E S A  CREDIT UNION,355 SOUTH 3RD ST SUITE B,BOISE,ID,83702,7612,208,342,0800,1,
324172630,O,121000374,1,070512,000000000,ICON CREDIT UNION,7615 WEST RIVERSIDE DRIVE,BOISE,ID,83714,0000,208,908,5216,1,
324172698,O,121000374,1,091404,000000000,ST. ALPHONSUS MEDICAL CREDIT UNION,6130 EMERALD,BOISE,ID,83704,0000,208,367,2224,1,
324172708,O,121000374,1,080414,000000000,HEALTH CARE IDAHO CREDIT UNION,208 W. JEFFERSON STREET,BOISE,ID,83702,0000,208,275,0069,1,
324172766,O,121000374,1,013114,000000000,IDAHO STATE UNIVERSITY FCU,2307 WEST MAIN  SUITE A,BURLEY,ID,83318,0000,208,878,6714,1,
324172795,O,121000374,1,113016,000000000,PIONEER FEDERAL CREDIT UNION,250 WEST 3RD SOUTH,MOUNTAIN HOME,ID,83647,2640,208,587,3304,1,
324172850,O,121000374,1,060713,000000000,SIMPLOT EMPLOYEES CREDIT UNION,PO BOX 190,CALDWELL,ID,83606,1059,208,454,4286,1,
324172863,O,121000374,1,070808,000000000,DESERT SAGE FCU,1104 W FINCH DR,NAMPA,ID,83651,0000,208,461,9141,1,
324173079,O,121000374,1,071107,000000000,WESTMARK CREDIT UNION,PO BOX 2869,IDAHO FALLS,ID,83403,2869,208,523,1071,1,
324173082,O,121000374,1,111709,000000000,EAST IDAHO CREDIT UNION,865 SOUTH WOODRUFF,IDAHO FALLS,ID,83401,0000,208,523,9068,1,
324173121,O,121000374,1,062012,000000000,MEMBERS PREFERRED CU,PO BOX 2200,IDAHO FALLS,ID,83403,0000,208,523,0090,1,
324173150,O,121000374,1,090517,000000000,IDAHO STATE UNIVERSITY FCU,353 N 4TH AVE  SUITE 210,POCATELLO,ID,83201,0000,208,235,7100,1,
324173383,O,121000374,1,093016,000000000,PIONEER FEDERAL CREDIT UNION,250 WEST 3RD SOUTH,MOUNTAIN HOME,ID,83647,2640,208,587,3304,1,
324173422,O,121000374,1,071414,000000000,CLARITY CREDIT UNION,1822 N MIDLAND BLVD,NAMPA,ID,83651,0000,208,467,6583,1,
324173448,O,121000374,1,070512,000000000,NORTHWEST CHRISTIAN CREDIT UNION,716 E COLORADO AVE,NAMPA,ID,83686,5991,208,466,0916,1,
324173480,O,121000374,1,061113,000000000,MOUNTAIN GEM CREDIT UNION,4211 11TH AVENUE SOUTH,NAMPA,ID,83651,0000,208,466,9455,1,
324173587,O,121000374,1,122309,000000000,ADVANTAGE PLUS FEDERAL CREDIT UNION,2133 EAST CENTER,POCATELLO,ID,83201,0000,208,232,7711,1,
324173626,O,121000374,1,071807,000000000,IDAHO CENTRAL CREDIT UNION,4400 CENTRAL WAY,CHUBBUCK,ID,83202,0000,208,239,3000,1,
324173639,O,121000374,1,110413,000000000,IDAHO STATE UNIVERSITY FCU,353 N 4TH AVE  SUITE 210,POCATELLO,ID,83201,0000,208,235,7100,1,
324173655,O,121000374,1,061412,000000000,POCATELLO SIMPLOT CREDIT UNION,1130 WEST HIGHWAY 30,POCATELLO,ID,83204,0000,208,234,5379,1,
324173697,O,121000374,1,060413,000000000,IDAHO STATE UNIVERSITY FCU,"353 N 4TH AVE, SUITE 210",POCATELLO,ID,83201,0000,208,235,7107,1,
